function_name,py_file,line_number
TestDBusConstants.test_object_path,tests/test_dbus_service.py,47
TestDBusConstants.test_interface_name,tests/test_dbus_service.py,51
TestSecureUSBServiceInit.setUp,tests/test_dbus_service.py,60
TestSecureUSBServiceInit.test_init,tests/test_dbus_service.py,66
TestSecureUSBServiceInit.test_pending_requests_empty,tests/test_dbus_service.py,78
TestSecureUSBServiceMethods.setUp,tests/test_dbus_service.py,93
TestSecureUSBServiceMethods.test_ping,tests/test_dbus_service.py,105
TestSecureUSBServiceMethods.test_get_version,tests/test_dbus_service.py,110
TestSecureUSBServiceMethods.test_is_enabled_true,tests/test_dbus_service.py,117
TestSecureUSBServiceMethods.test_is_enabled_false,tests/test_dbus_service.py,128
TestSecureUSBServiceMethods.test_is_enabled_error_fallback,tests/test_dbus_service.py,139
TestSecureUSBServiceMethods.test_set_enabled_true,tests/test_dbus_service.py,146
TestSecureUSBServiceMethods.test_set_enabled_false,tests/test_dbus_service.py,155
TestSecureUSBServiceMethods.test_set_enabled_no_callback,tests/test_dbus_service.py,164
TestSecureUSBServiceMethods.test_authorize_device,tests/test_dbus_service.py,172
TestSecureUSBServiceMethods.test_deny_device,tests/test_dbus_service.py,198
TestSecureUSBServiceMethods.test_deny_device_no_callback,tests/test_dbus_service.py,211
TestSecureUSBServiceMethods.test_get_pending_devices_empty,tests/test_dbus_service.py,219
TestSecureUSBServiceMethods.test_get_pending_devices_with_devices,tests/test_dbus_service.py,226
TestSecureUSBServiceMethods.test_get_recent_events,tests/test_dbus_service.py,238
TestSecureUSBServiceMethods.test_get_statistics,tests/test_dbus_service.py,253
TestSecureUSBServiceMethods.test_add_to_whitelist,tests/test_dbus_service.py,268
TestSecureUSBServiceMethods.test_remove_from_whitelist,tests/test_dbus_service.py,283
TestSecureUSBServiceSignals.setUp,tests/test_dbus_service.py,297
TestSecureUSBServiceSignals.test_emit_device_connected,tests/test_dbus_service.py,306
TestSecureUSBServiceSignals.test_emit_device_disconnected,tests/test_dbus_service.py,321
TestSecureUSBServiceSignals.test_emit_authorization_result,tests/test_dbus_service.py,331
TestSecureUSBServiceSignals.test_emit_protection_state_changed,tests/test_dbus_service.py,341
TestDBusClient.setUp,tests/test_dbus_service.py,351
TestDBusClient.test_client_init_system_bus,tests/test_dbus_service.py,358
TestDBusClient.test_client_init_session_bus,tests/test_dbus_service.py,373
TestDBusClient.test_client_init_connection_error,tests/test_dbus_service.py,387
TestDBusClient.test_is_connected_true,tests/test_dbus_service.py,399
TestDBusClient.test_is_connected_false,tests/test_dbus_service.py,415
TestDBusClient.test_authorize_device,tests/test_dbus_service.py,430
TestDBusClient.test_deny_device,tests/test_dbus_service.py,455
TestDBusClient.test_client_add_to_whitelist,tests/test_dbus_service.py,471
TestDBusClient.test_connect_to_signal,tests/test_dbus_service.py,489
TestSecureUSBIndicatorInit.test_init_creates_indicator,tests/test_indicator.py,32
TestSecureUSBIndicatorInit.test_init_creates_menu,tests/test_indicator.py,46
TestSecureUSBIndicatorInit.test_init_state,tests/test_indicator.py,60
TestSecureUSBIndicatorInit.test_init_schedules_dbus_connection,tests/test_indicator.py,71
TestSecureUSBIndicatorDBusConnection.setUp,tests/test_indicator.py,81
TestSecureUSBIndicatorDBusConnection.tearDown,tests/test_indicator.py,96
TestSecureUSBIndicatorDBusConnection.test_connect_dbus_success,tests/test_indicator.py,103
TestSecureUSBIndicatorDBusConnection.test_connect_dbus_failure_schedules_retry,tests/test_indicator.py,117
TestSecureUSBIndicatorDBusConnection.test_connect_dbus_subscribes_to_signals,tests/test_indicator.py,129
TestSecureUSBIndicatorStateUpdate.setUp,tests/test_indicator.py,148
TestSecureUSBIndicatorStateUpdate.test_update_state_enabled,tests/test_indicator.py,166
TestSecureUSBIndicatorStateUpdate.test_update_state_disabled,tests/test_indicator.py,178
TestSecureUSBIndicatorStateUpdate.test_update_state_sets_updating_flag,tests/test_indicator.py,190
TestSecureUSBIndicatorToggle.setUp,tests/test_indicator.py,201
TestSecureUSBIndicatorToggle.test_on_toggle_when_updating,tests/test_indicator.py,211
TestSecureUSBIndicatorToggle.test_on_toggle_enable,tests/test_indicator.py,221
TestSecureUSBIndicatorToggle.test_on_toggle_disable,tests/test_indicator.py,230
TestSecureUSBIndicatorToggle.test_on_toggle_no_dbus_client,tests/test_indicator.py,240
TestSecureUSBIndicatorToggle.test_on_toggle_error_handling,tests/test_indicator.py,255
TestSecureUSBIndicatorLaunchCommand.setUp,tests/test_indicator.py,273
TestSecureUSBIndicatorLaunchCommand.test_launch_command_success,tests/test_indicator.py,282
TestSecureUSBIndicatorLaunchCommand.test_launch_command_error,tests/test_indicator.py,291
TestSecureUSBIndicatorSignalHandler.setUp,tests/test_indicator.py,302
TestSecureUSBIndicatorSignalHandler.test_on_protection_changed,tests/test_indicator.py,313
TestSecureUSBIndicatorMenuItems.test_menu_has_status_item,tests/test_indicator.py,330
TestSecureUSBIndicatorMenuItems.test_menu_has_toggle_item,tests/test_indicator.py,339
TestSecureUSBIndicatorMenuItems.test_menu_has_setup_item,tests/test_indicator.py,348
TestSecureUSBIndicatorMenuItems.test_menu_has_client_item,tests/test_indicator.py,357
TestSecureUSBIndicatorIntegration.setUp,tests/test_indicator.py,367
TestSecureUSBIndicatorIntegration.tearDown,tests/test_indicator.py,379
TestSecureUSBIndicatorIntegration.test_full_initialization_sequence,tests/test_indicator.py,385
TestUSBLogger.setUp,tests/test_logger.py,17
TestUSBLogger.tearDown,tests/test_logger.py,23
TestUSBLogger.test_initialization,tests/test_logger.py,28
TestUSBLogger.test_log_event_basic,tests/test_logger.py,32
TestUSBLogger.test_log_event_full,tests/test_logger.py,44
TestUSBLogger.test_get_recent_events,tests/test_logger.py,61
TestUSBLogger.test_get_recent_events_limit,tests/test_logger.py,81
TestUSBLogger.test_get_events_by_date_range,tests/test_logger.py,93
TestUSBLogger.test_get_device_history,tests/test_logger.py,114
TestUSBLogger.test_get_failed_auth_attempts,tests/test_logger.py,137
TestUSBLogger.test_cleanup_old_events,tests/test_logger.py,161
TestUSBLogger.test_get_statistics,tests/test_logger.py,178
TestUSBLogger.test_export_to_csv,tests/test_logger.py,197
TestUSBLogger.test_event_action_enum,tests/test_logger.py,225
TestPathsDefaultSystemDir.test_default_system_dir_linux,tests/test_paths.py,32
TestPathsDefaultSystemDir.test_default_system_dir_darwin,tests/test_paths.py,39
TestPathsDefaultSystemDir.test_default_system_dir_windows_with_programdata,tests/test_paths.py,47
TestPathsDefaultSystemDir.test_default_system_dir_windows_without_programdata,tests/test_paths.py,56
TestPathsDefaultPointerFile.test_default_pointer_file_linux,tests/test_paths.py,68
TestPathsDefaultPointerFile.test_default_pointer_file_darwin,tests/test_paths.py,76
TestPathsDefaultPointerFile.test_default_pointer_file_windows,tests/test_paths.py,84
TestPathsReadPointerFile.test_read_pointer_file_exists,tests/test_paths.py,95
TestPathsReadPointerFile.test_read_pointer_file_not_exists,tests/test_paths.py,109
TestPathsReadPointerFile.test_read_pointer_file_empty,tests/test_paths.py,116
TestPathsReadPointerFile.test_read_pointer_file_with_tilde,tests/test_paths.py,129
TestPathsResolveConfigDir.test_resolve_explicit_dir,tests/test_paths.py,147
TestPathsResolveConfigDir.test_resolve_explicit_dir_with_tilde,tests/test_paths.py,153
TestPathsResolveConfigDir.test_resolve_from_environment,tests/test_paths.py,159
TestPathsResolveConfigDir.test_resolve_from_environment_with_tilde,tests/test_paths.py,165
TestPathsResolveConfigDir.test_resolve_from_pointer_file,tests/test_paths.py,170
TestPathsResolveConfigDir.test_resolve_from_system_dir_if_exists,tests/test_paths.py,185
TestPathsResolveConfigDir.test_resolve_fallback_to_user_default,tests/test_paths.py,195
TestPathsResolveConfigDir.test_resolve_priority_order,tests/test_paths.py,209
TestPathsEdgeCases.test_resolve_config_dir_with_none,tests/test_paths.py,225
TestPathsEdgeCases.test_resolve_config_dir_with_empty_string,tests/test_paths.py,231
TestPathsEdgeCases.test_pointer_file_read_error,tests/test_paths.py,236
TestPathsEdgeCases.test_path_expansion_consistency,tests/test_paths.py,252
TestPathsIntegration.test_multiple_resolution_calls_consistent,tests/test_paths.py,263
TestPathsIntegration.test_system_constants_valid,tests/test_paths.py,269
TestPathsIntegration.test_env_var_name_is_string,tests/test_paths.py,274
DummyStorage.__init__,tests/test_ports_shared_setup_cli.py,25
DummyStorage.is_configured,tests/test_ports_shared_setup_cli.py,30
DummyStorage.save_auth_data,tests/test_ports_shared_setup_cli.py,33
DummyQRCode.__init__,tests/test_ports_shared_setup_cli.py,41
DummyQRCode.add_data,tests/test_ports_shared_setup_cli.py,45
DummyQRCode.make,tests/test_ports_shared_setup_cli.py,48
DummyQRCode.print_ascii,tests/test_ports_shared_setup_cli.py,51
DummyAuthenticator.__init__,tests/test_ports_shared_setup_cli.py,58
DummyAuthenticator.get_secret,tests/test_ports_shared_setup_cli.py,62
DummyAuthenticator.get_provisioning_uri,tests/test_ports_shared_setup_cli.py,65
DummyAuthenticator.verify_code,tests/test_ports_shared_setup_cli.py,69
TestRunCliSetup.test_returns_early_when_already_configured,tests/test_ports_shared_setup_cli.py,76
TestRunCliSetup.test_provisions_and_saves_credentials,tests/test_ports_shared_setup_cli.py,88
TestSecureStorage.setUp,tests/test_storage.py,17
TestSecureStorage.tearDown,tests/test_storage.py,27
TestSecureStorage.test_initialization,tests/test_storage.py,33
TestSecureStorage.test_is_configured_false,tests/test_storage.py,39
TestSecureStorage.test_save_auth_data,tests/test_storage.py,43
TestSecureStorage.test_load_auth_data,tests/test_storage.py,52
